# HER final starting MIO audit

REMOVED_INVALID=253

REMOVED	history/countries/ENG - Britain.txt	Light Tank Mk. II	light_tank_chassis_1	ENG_vickers_armstrong_eng_organization	MISMATCH
REMOVED	history/countries/ENG - Britain.txt	Light Tank Mk. III	light_tank_chassis_1	ENG_vickers_armstrong_eng_organization	MISMATCH
REMOVED	history/countries/ENG - Britain.txt	Medium Mk. II	medium_tank_chassis_0	ENG_vickers_armstrong_eng_organization	MISMATCH
REMOVED	history/countries/ENG - Britain.txt	Bristol Bulldog	small_plane_airframe_0	ENG_bristol_organization	MISMATCH
REMOVED	history/countries/ENG - Britain.txt	Hawker Fury	small_plane_airframe_0	ENG_hawker_organization	MISMATCH
REMOVED	history/countries/ENG - Britain.txt	Hawker Demon	small_plane_airframe_0	ENG_hawker_organization	MISMATCH
REMOVED	history/countries/ENG - Britain.txt	Hawker Nimrod	cv_small_plane_airframe_0	ENG_hawker_organization	MISMATCH
REMOVED	history/countries/ENG - Britain.txt	Fairey Gordon	small_plane_cas_airframe_0	ENG_fairey_aviation_organization	MISMATCH
REMOVED	history/countries/ENG - Britain.txt	Vickers Vildebeest	small_plane_naval_bomber_airframe_0	ENG_fairey_aviation_organization	MISMATCH
REMOVED	history/countries/ENG - Britain.txt	Fairey Swordfish	cv_small_plane_naval_bomber_airframe_0	ENG_fairey_aviation_organization	MISMATCH
REMOVED	history/countries/ENG - Britain.txt	Handley Page Heyford	medium_plane_airframe_0	ENG_de_havilland_organization	MISMATCH
REMOVED	history/countries/ENG - Britain.txt	Vickers Wellington	medium_plane_airframe_1	ENG_vickers_armstrong_eng_organization	MISMATCH
REMOVED	history/countries/FRA - France.txt	Renault FT (HMG)	light_tank_chassis_0	FRA_renault_organization	MISMATCH
REMOVED	history/countries/FRA - France.txt	Renault FT (SC)	light_tank_chassis_0	FRA_renault_organization	MISMATCH
REMOVED	history/countries/FRA - France.txt	Renault R35	light_tank_chassis_0	FRA_renault_organization	MISMATCH
REMOVED	history/countries/FRA - France.txt	Char B1	heavy_tank_chassis_0	FRA_renault_organization	MISMATCH
REMOVED	history/countries/FRA - France.txt	D.500/501	small_plane_airframe_0	FRA_dewoitine_organization	MISMATCH
REMOVED	history/countries/FRA - France.txt	D.510	small_plane_airframe_0	FRA_dewoitine_organization	MISMATCH
REMOVED	history/countries/FRA - France.txt	D.371	cv_small_plane_airframe_0	FRA_dewoitine_organization	MISMATCH
REMOVED	history/countries/GER - Germany.txt	Ju 86	medium_plane_airframe_0	GER_junkers_organization	MISMATCH
REMOVED	history/countries/GER - Germany.txt	He 51	small_plane_airframe_0	GER_heinkel_organization	MISMATCH
REMOVED	history/countries/GER - Germany.txt	He 45	small_plane_airframe_0	GER_heinkel_organization	MISMATCH
REMOVED	history/countries/GER - Germany.txt	Do 22	small_plane_naval_bomber_airframe_1	GER_dornier_organization	UNKNOWN
REMOVED	history/countries/JAP - Japan.txt	Ki-10	small_plane_airframe_0	JAP_kawasaki_organization	MISMATCH
REMOVED	history/countries/JAP - Japan.txt	Ki-2	medium_plane_airframe_0	JAP_mitsubishi_organization	MISMATCH
REMOVED	history/countries/JAP - Japan.txt	Ki-3	small_plane_cas_airframe_0	JAP_kawasaki_organization	MISMATCH
REMOVED	history/countries/JAP - Japan.txt	A4N	cv_small_plane_airframe_0	JAP_nakajima_organization	MISMATCH
